	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
AcnR	0.1	0.07	0.02	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.01	0.06	0.01	0.08
AgaR	0.03	0.01	0.01	0.03	0.0	0.01	0.01	0.0	0.02	0.0	0.0	0.05	0.02	0.02
AmtR	0.2	0.16	0.19	0.01	0.14	0.08	0.01	0.03	0.02	0.0	0.28	0.19	0.05	0.21
AraR	0.06	0.06	0.01	0.0	0.0	0.02	0.0	0.0	0.01	0.0	0.0	0.01	0.01	0.03
ArgR	0.09	0.04	0.02	0.02	0.02	0.02	0.02	0.0	0.01	0.03	0.03	0.14	0.08	0.01
BioQ	0.01	0.01	0.03	0.0	0.0	0.02	0.01	0.01	0.02	0.02	0.01	0.02	0.02	0.01
BirA	0.05	0.04	0.09	0.0	0.01	0.09	0.11	0.04	0.02	0.05	0.01	0.09	0.02	0.02
CadR-PbrR	0.02	0.05	0.03	0.02	0.05	0.0	0.0	0.01	0.04	0.13	0.05	0.03	0.02	0.01
CblR	0.0	0.0	0.0	0.01	0.0	0.0	0.03	0.02	0.01	0.01	0.01	0.03	0.02	0.0
CcpA	0.03	0.03	0.18	0.01	0.18	0.08	0.01	0.05	0.01	0.0	0.4	0.16	0.14	0.1
CsoR	0.02	0.02	0.01	0.07	0.01	0.02	0.02	0.0	0.01	0.01	0.01	0.0	0.01	0.0
CueR	0.0	0.0	0.0	0.0	0.0	0.01	0.04	0.01	0.0	0.06	0.0	0.0	0.02	0.04
CzrA	0.0	0.0	0.04	0.01	0.01	0.01	0.07	0.0	0.0	0.0	0.02	0.04	0.04	0.0
DasR	0.03	0.02	0.0	0.04	0.0	0.04	0.01	0.01	0.0	0.0	0.0	0.0	0.01	0.0
ExuR_UxuR	0.02	0.02	0.07	0.04	0.03	0.05	0.03	0.05	0.0	0.04	0.06	0.0	0.0	0.0
FUR	0.1	0.09	0.04	0.01	0.02	0.01	0.11	0.0	0.0	0.01	0.04	0.06	0.08	0.01
FabR	0.08	0.03	0.03	0.08	0.01	0.0	0.01	0.06	0.05	0.07	0.0	0.02	0.0	0.01
FadP	0.07	0.11	0.05	0.0	0.0	0.06	0.05	0.03	0.15	0.0	0.02	0.05	0.03	0.2
FadR	0.0	0.0	0.01	0.01	0.0	0.01	0.02	0.03	0.0	0.0	0.0	0.01	0.0	0.0
FixJ	0.0	0.01	0.04	0.01	0.0	0.01	0.01	0.01	0.02	0.02	0.02	0.04	0.03	0.03
FnrN_FixK	0.03	0.05	0.0	0.04	0.0	0.0	0.01	0.0	0.0	0.04	0.0	0.02	0.0	0.05
FruR	0.0	0.0	0.0	0.01	0.0	0.02	0.02	0.01	0.0	0.06	0.01	0.05	0.11	0.11
GguR	0.03	0.01	0.06	0.13	0.11	0.01	0.0	0.0	0.01	0.01	0.11	0.01	0.0	0.0
GlcC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.0	0.23	0.3
GntR	0.01	0.01	0.0	0.03	0.01	0.0	0.08	0.05	0.01	0.0	0.0	0.07	0.0	0.0
GulR	0.11	0.11	0.01	0.03	0.01	0.02	0.0	0.01	0.0	0.01	0.04	0.0	0.05	0.01
HcpR	0.05	0.02	0.02	0.11	0.0	0.07	0.06	0.02	0.01	0.09	0.0	0.01	0.01	0.05
HexR	0.03	0.05	0.0	0.0	0.0	0.04	0.0	0.0	0.08	0.01	0.0	0.0	0.0	0.03
HisR	0.18	0.17	0.04	0.01	0.1	0.01	0.02	0.01	0.01	0.06	0.18	0.09	0.0	0.02
HrcA	0.01	0.02	0.01	0.0	0.01	0.01	0.01	0.01	0.03	0.0	0.0	0.0	0.0	0.0
HutC	0.0	0.0	0.04	0.01	0.0	0.05	0.32	0.14	0.04	0.02	0.0	0.01	0.02	0.0
HypR	0.0	0.01	0.03	0.07	0.01	0.01	0.0	0.03	0.05	0.02	0.0	0.0	0.0	0.01
Irr	0.0	0.0	0.0	0.21	0.0	0.0	0.05	0.01	0.01	0.03	0.0	0.0	0.04	0.0
IscR	0.01	0.02	0.07	0.0	0.02	0.02	0.1	0.01	0.01	0.01	0.02	0.08	0.13	0.06
KdgR	0.16	0.1	0.06	0.07	0.05	0.01	0.02	0.01	0.0	0.04	0.07	0.25	0.11	0.12
LexA	0.03	0.0	0.0	0.06	0.01	0.01	0.0	0.01	0.04	0.03	0.08	0.0	0.01	0.01
LiuQ	0.1	0.05	0.03	0.01	0.0	0.06	0.02	0.01	0.0	0.13	0.0	0.01	0.0	0.01
LiuR	0.02	0.02	0.01	0.0	0.01	0.0	0.03	0.0	0.0	0.03	0.03	0.02	0.05	0.07
LldR	0.02	0.0	0.01	0.02	0.03	0.01	0.01	0.01	0.03	0.0	0.07	0.01	0.0	0.01
LtbR	0.0	0.0	0.02	0.01	0.0	0.0	0.01	0.01	0.0	0.0	0.01	0.01	0.01	0.01
MerR	0.02	0.01	0.0	0.01	0.0	0.0	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.0
